Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,7275.000000,7475.000000,7250.000000,7375.000000,6813.942383,20431800
2023-06-07,7425.000000,7475.000000,7400.000000,7450.000000,6883.236816,15381300
2023-06-08,7500.000000,7500.000000,7375.000000,7425.000000,6860.138672,7128700
2023-06-09,7325.000000,7475.000000,7325.000000,7425.000000,6860.138672,7917400
2023-06-12,7450.000000,7475.000000,7425.000000,7450.000000,6883.236816,9202800
2023-06-13,7475.000000,7475.000000,7350.000000,7350.000000,6790.844238,6909100
2023-06-14,7350.000000,7450.000000,7350.000000,7425.000000,6860.138672,7028600
2023-06-15,7450.000000,7475.000000,7400.000000,7450.000000,6883.236816,6013200
2023-06-16,7425.000000,7475.000000,7275.000000,7275.000000,6721.549805,20763800
2023-06-19,7275.000000,7400.000000,7275.000000,7400.000000,6837.040527,12730100
2023-06-20,7375.000000,7375.000000,7125.000000,7150.000000,6606.059082,15719800
2023-06-21,7175.000000,7400.000000,7175.000000,7375.000000,6813.942383,9816700
2023-06-22,7375.000000,7400.000000,7225.000000,7225.000000,6675.354004,6933500
2023-06-23,7250.000000,7400.000000,7250.000000,7300.000000,6744.647949,6846700
2023-06-26,7350.000000,7425.000000,7300.000000,7325.000000,6767.746094,10303900
2023-06-27,7350.000000,7350.000000,7250.000000,7350.000000,6790.844238,5117200
2023-07-03,7350.000000,7375.000000,7225.000000,7250.000000,6698.452148,13036000
2023-07-04,7275.000000,7375.000000,7250.000000,7375.000000,6813.942383,7371300
2023-07-05,7375.000000,7475.000000,7350.000000,7425.000000,6860.138672,9377600
2023-07-06,7425.000000,7475.000000,7375.000000,7450.000000,6883.236816,18386200
2023-07-07,7300.000000,7350.000000,7225.000000,7275.000000,6961.705566,13723700
2023-07-10,7300.000000,7325.000000,7250.000000,7250.000000,6937.782227,5040100
2023-07-11,7250.000000,7325.000000,7250.000000,7300.000000,6985.628906,6802300
2023-07-12,7325.000000,7475.000000,7275.000000,7400.000000,7081.322266,7082100
2023-07-13,7400.000000,7525.000000,7400.000000,7450.000000,7129.169434,13443000
2023-07-14,7475.000000,7550.000000,7425.000000,7450.000000,7129.169434,8083900
2023-07-17,7425.000000,7450.000000,7300.000000,7300.000000,6985.628906,8103500
2023-07-18,7325.000000,7350.000000,7225.000000,7350.000000,7033.475586,4210000
2023-07-20,7350.000000,7375.000000,7250.000000,7325.000000,7009.552246,4843300
2023-07-21,7325.000000,7350.000000,7250.000000,7325.000000,7009.552246,4121300
2023-07-24,7350.000000,7350.000000,7275.000000,7275.000000,6961.705566,2613300
2023-07-25,7325.000000,7325.000000,7175.000000,7175.000000,6866.012207,7641300
2023-07-26,7175.000000,7250.000000,7150.000000,7175.000000,6866.012207,6788300
2023-07-27,7175.000000,7325.000000,7175.000000,7250.000000,6937.782227,4790800
2023-07-28,7275.000000,7325.000000,7200.000000,7325.000000,7009.552246,6679800
2023-07-31,7325.000000,7375.000000,7250.000000,7325.000000,7009.552246,10226200
2023-08-01,7275.000000,7275.000000,7000.000000,7000.000000,6698.548340,15284400
2023-08-02,7000.000000,7050.000000,6900.000000,7050.000000,6746.395020,10482500
2023-08-03,7050.000000,7125.000000,7000.000000,7050.000000,6746.395020,7667100
2023-08-04,7050.000000,7100.000000,7000.000000,7050.000000,6746.395020,3234300
2023-08-07,7100.000000,7125.000000,7050.000000,7075.000000,6770.318359,6723400
2023-08-08,7025.000000,7100.000000,6975.000000,7000.000000,6698.548340,10356300
2023-08-09,7000.000000,7000.000000,6925.000000,6975.000000,6674.625000,8377200
2023-08-10,6975.000000,7100.000000,6975.000000,7075.000000,6770.318359,11422100
2023-08-11,7100.000000,7100.000000,7000.000000,7050.000000,6746.395020,10644900
2023-08-14,7050.000000,7075.000000,6975.000000,7050.000000,6746.395020,9921900
2023-08-15,7050.000000,7050.000000,6950.000000,7000.000000,6698.548340,5207500
2023-08-16,7000.000000,7100.000000,6975.000000,7100.000000,6794.241699,4884000
2023-08-18,7050.000000,7100.000000,7000.000000,7050.000000,6746.395020,6531000
2023-08-21,7050.000000,7050.000000,6950.000000,7000.000000,6698.548340,7689000
2023-08-22,6975.000000,7050.000000,6975.000000,7000.000000,6698.548340,3011900
2023-08-23,7000.000000,7150.000000,7000.000000,7075.000000,6770.318359,8107300
2023-08-24,7075.000000,7125.000000,7025.000000,7025.000000,6722.471680,5008100
2023-08-25,7025.000000,7150.000000,7000.000000,7125.000000,6818.165039,6990900
2023-08-28,7125.000000,7175.000000,7075.000000,7100.000000,6794.241699,3667400
2023-08-29,7150.000000,7200.000000,7100.000000,7150.000000,6842.088379,7986000
2023-08-30,7150.000000,7175.000000,7025.000000,7050.000000,6746.395020,6222700
2023-08-31,7050.000000,7100.000000,7025.000000,7100.000000,6794.241699,8339000
2023-09-01,7100.000000,7100.000000,7000.000000,7000.000000,6698.548340,7093600
2023-09-04,7000.000000,7050.000000,6875.000000,6900.000000,6602.854492,10757100
2023-09-05,6900.000000,6900.000000,6825.000000,6850.000000,6555.007813,9101400
2023-09-06,6850.000000,6900.000000,6825.000000,6875.000000,6578.931152,11380400
2023-09-07,6875.000000,6950.000000,6850.000000,6950.000000,6650.701660,11387100
2023-09-08,6975.000000,6975.000000,6875.000000,6925.000000,6626.778320,6631800
2023-09-11,6925.000000,6950.000000,6875.000000,6950.000000,6650.701660,4051500
2023-09-12,6975.000000,6975.000000,6825.000000,6850.000000,6555.007813,7691500
2023-09-13,6850.000000,6900.000000,6800.000000,6900.000000,6602.854492,7498200
2023-09-14,6850.000000,6875.000000,6700.000000,6700.000000,6411.467773,14765100
2023-09-15,6700.000000,6750.000000,6650.000000,6750.000000,6459.314453,16267700
2023-09-18,6750.000000,6750.000000,6575.000000,6600.000000,6315.773926,10488700
2023-09-19,6600.000000,6700.000000,6600.000000,6675.000000,6387.544434,4209900
2023-09-20,6675.000000,6925.000000,6675.000000,6800.000000,6507.161133,13558600
